Entry	Gene names	Subcellular location [CC]
Q6ZSK4	NTM-AS1 C11orf39	
Q9Y263	PLAA PLAP	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:28007986}. Cytoplasm {ECO:0000269|PubMed:27753622, ECO:0000269|PubMed:28007986}. Cell junction, synapse {ECO:0000250|UniProtKB:P27612}. Note=Recruited to damaged lysosomes decorated with K48-linked ubiquitin chains. {ECO:0000269|PubMed:27753622}.
Q96RE7	NACC1 BTBD14B NAC1	SUBCELLULAR LOCATION: Nucleus. Cytoplasm. Note=Distribution in the cytoplasm is dependent on phosphorylation. {ECO:0000250}.
O43312	MTSS1 KIAA0429 MIM	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.
Q9NP80	PNPLA8 IPLA22 IPLA2G BM-043	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}. Golgi apparatus membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}. Cytoplasm, perinuclear region {ECO:0000250}.
Q15319	POU4F3 BRN3C	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18228599, ECO:0000269|PubMed:28790396}. Cytoplasm {ECO:0000269|PubMed:28790396}. Note=Preferentially localized in the nucleus. {ECO:0000269|PubMed:28790396}.
P08134	RHOC ARH9 ARHC	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Cleavage furrow {ECO:0000269|PubMed:16236794}. Note=Translocates to the equatorial region before furrow formation in a ECT2-dependent manner.
Q5VZM2	RRAGB	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:9394008}. Lysosome {ECO:0000269|PubMed:20381137}.
P0DPB5	POLR1D	
Q9BT43	POLR3GL	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20154270}.
P51157	RAB28	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Cytoplasm, cytoskeleton, cilium basal body. Note=Expressed in the basal body and ciliary rootlet of the photoreceptors. {ECO:0000250}.
P20338	RAB4A RAB4	SUBCELLULAR LOCATION: Membrane; Peripheral membrane protein {ECO:0000269|PubMed:1425574}. Cytoplasm {ECO:0000269|PubMed:1425574}. Early endosome membrane {ECO:0000250|UniProtKB:P05714}; Peripheral membrane protein {ECO:0000250|UniProtKB:P05714}. Recycling endosome membrane {ECO:0000250|UniProtKB:P05714}; Peripheral membrane protein {ECO:0000250|UniProtKB:P05714}. Note=Generally associated with membranes. Cytoplasmic when phosphorylated by CDK1. {ECO:0000269|PubMed:1425574}.
P61020	RAB5B	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17081065}; Lipid-anchor {ECO:0000269|PubMed:17081065}; Cytoplasmic side {ECO:0000269|PubMed:17081065}. Early endosome membrane {ECO:0000269|PubMed:17081065}; Lipid-anchor {ECO:0000269|PubMed:17081065}. Melanosome {ECO:0000269|PubMed:17081065}. Note=Enriched in stage I melanosomes.
Q9BRS2	RIOK1 RIO1	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:21081503}.
Q05823	RNASEL RNS4	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11585831}. Mitochondrion {ECO:0000269|PubMed:11585831}.
P51149	RAB7A RAB7	SUBCELLULAR LOCATION: Cytoplasmic vesicle, phagosome membrane {ECO:0000269|PubMed:12944476, ECO:0000269|PubMed:21255211}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Late endosome membrane {ECO:0000269|PubMed:12944476, ECO:0000269|PubMed:14617358, ECO:0000269|PubMed:16176980, ECO:0000269|PubMed:20028791}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Lysosome membrane {ECO:0000269|PubMed:12944476, ECO:0000269|PubMed:20028791}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Melanosome membrane {ECO:0000269|PubMed:12643545, ECO:0000269|PubMed:17081065}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Cytoplasmic vesicle, autophagosome membrane {ECO:0000269|PubMed:20028791}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Lipid droplet {ECO:0000250|UniProtKB:P51150}. Endosome membrane {ECO:0000269|PubMed:22431521}. Note=Colocalizes with OSBPL1A at the late endosome (PubMed:16176980). Found in the ruffled border (a late endosomal-like compartment in the plasma membrane) of bone-resorbing osteoclasts. Recruited to phagosomes containing S.aureus or Mycobacterium (PubMed:21255211). Lipid droplet localization is increased upon ADRB2 stimulation (By similarity). {ECO:0000250|UniProtKB:P51150, ECO:0000269|PubMed:16176980, ECO:0000269|PubMed:21255211}.
